# clock	walking	resting	collected_food	energy
1	0	20	0	0
2	0	20	0	0
3	4	16	0	-4
4	6	14	0	-10
5	6	14	0	-16
6	6	14	0	-22
7	7	13	0	-29
8	10	10	0	-39
9	11	9	0	-50
10	15	5	0	-65
11	18	2	0	-83
12	18	2	0	-101
13	18	2	0	-119
14	18	2	0	-137
15	18	2	0	-155
16	18	2	0	-173
17	18	2	0	-191
18	18	2	0	-209
19	18	2	0	-227
20	18	2	0	-245
21	19	1	0	-264
22	19	1	0	-283
23	19	1	0	-302
24	19	1	0	-321
25	19	1	0	-340
26	19	1	0	-359
27	19	1	0	-378
28	19	1	0	-397
29	19	1	0	-416
30	19	1	0	-435
31	19	1	0	-454
32	19	1	0	-473
